frame_id,4's score,pos_x,pos_y,per_x,per_y
0,4.4425895591782094e-44,1.1060868523230967,0.04173223890683897,1.0,0.0
1,3.46637708314377e-52,1.2198658917650955,0.04882661581084299,1.0,0.0
2,1.6242315899330474e-52,1.3336500322966658,0.05583870276779414,1.0,0.0
3,9.83303405433769e-53,1.4474273427467268,0.0629607549123969,1.0,0.0
4,5.434922127102839e-53,1.5612116354880339,0.06997037154674349,1.0,0.0
5,3.4846518522338824e-53,1.6749880633039385,0.07710651010006962,1.0,0.0
6,2.4361752266407517e-53,1.7887760539858197,0.08405583931806733,1.0,0.0
7,1.5958482071695012e-53,1.9025767422670075,0.09079403987370056,1.0,0.0
8,9.236849097061085e-54,2.0163701845458366,0.09765352194852245,1.0,0.0
9,4.297220646955933e-54,2.1301706206881987,0.10439597949812487,1.0,0.0
10,3.972126707990394e-54,2.243981305003659,0.11096318100612217,1.0,0.0
11,2.0500766457423212e-54,2.35780980429922,0.11721400080199065,1.0,0.0
12,1.3058770648967755e-54,2.471623020292129,0.12373717988519099,1.0,0.0
13,8.465114758450363e-55,2.5854395960186514,0.1302014733414643,1.0,0.0
14,6.2730644672470824e-55,2.699272703794234,0.1363677991642306,1.0,0.0
15,6.657828279456602e-55,2.8131234660651097,0.14219908807326392,1.0,0.0
16,5.808349467095537e-55,2.92697900066906,0.14793644286869276,1.0,0.0
17,6.92051723172245e-55,3.0408468338583208,0.15342429898768029,1.0,0.0
18,1.5344606137106414e-54,3.1547272287295125,0.15864499472498264,1.0,0.0
19,3.9381884982675935e-54,3.2686233899331825,0.1635096080773096,1.0,0.0
20,1.6446214191627e-53,3.38251252527416,0.1685360234286826,1.0,0.0
21,4.968345037728172e-53,3.496412106927477,0.17331988162049775,1.0,0.0
22,2.3787960518006227e-52,3.610313596626575,0.17805809270974696,1.0,0.0
23,1.3054892618333771e-51,3.7242206559262914,0.18266046619424836,1.0,0.0
24,4.6346315503668135e-51,3.838135476583186,0.18706655683193982,1.0,0.0
25,1.1066569056896065e-50,3.9520608960649675,0.1911895164364231,1.0,0.0
26,3.183383548046809e-50,4.065989086135459,0.19523519403874384,1.0,0.0
27,1.2848955617718021e-49,4.179920793533314,0.1991805773420052,1.0,0.0
28,4.287813104204487e-49,4.293858801251482,0.20293961940277688,1.0,0.0
29,8.331237223392089e-49,4.407800586842738,0.20658235138252282,1.0,0.0
30,1.1014870967790006e-48,4.521751500333857,0.2099273946616984,1.0,0.0
31,1.9788939895874383e-48,4.635708429300965,0.2130608177715713,1.0,0.0
32,3.240882750465324e-48,4.749671129605462,0.21597679776249,1.0,0.0
33,2.2682482926679588e-48,4.863641905100959,0.21855794730386158,1.0,0.0
34,1.277735808643386e-48,4.977605935211622,0.22142148374254797,1.0,0.0
35,1.003569734929046e-48,5.091565374370881,0.22446224458601,1.0,0.0
36,9.312233605556456e-49,5.2055147560366475,0.2278590692782121,1.0,0.0
37,7.943819443438474e-49,5.319451548035511,0.23165478120189764,1.0,0.0
38,7.537490934762539e-49,5.433373656423404,0.23586823826909345,1.0,0.0
39,5.1706341999382274e-49,5.547282848623396,0.24041751649156778,1.0,0.0
40,3.438854894589028e-49,5.66119123158849,0.24498701211771218,1.0,0.0
41,1.972627046610475e-49,5.775097673803294,0.24960463292995644,1.0,0.0
42,1.3371495931162433e-49,5.889001099777808,0.254296066747936,1.0,0.0
43,8.442938210681864e-50,6.002914808627475,0.258730808692326,1.0,0.0
44,5.732986579755141e-50,6.116828821828505,0.2631577259533041,1.0,0.0
45,4.479559087602879e-50,6.230751467372927,0.26735663440193497,1.0,0.0
46,5.061739937032299e-50,6.344683513738146,0.2712922170822436,1.0,0.0
47,5.034503619124782e-50,6.4586173216555745,0.2751764690610176,1.0,0.0
48,7.10491196511056e-50,6.572567429089835,0.27854885926981826,1.0,0.0
49,1.2536286726116432e-49,6.686518253377471,0.2818969399391302,1.0,0.0
50,2.240649514804617e-49,6.8004823272903865,0.2847587325891247,1.0,0.0
51,3.568043423748507e-49,6.914450496799917,0.2874524917927223,1.0,0.0
52,1.1344426774731271e-48,7.028420052283453,0.29008696002850387,1.0,0.0
53,5.3276154594471024e-48,7.1423913318665315,0.29264575470483756,1.0,0.0
54,2.3767453662536325e-47,7.256363571051226,0.2951614445161696,1.0,0.0
55,1.3416924438707422e-46,7.370335772592664,0.2976788391610095,1.0,0.0
56,9.581502724456055e-46,7.484303835261658,0.30037711480972007,1.0,0.0
57,8.646647830054445e-45,7.598259075229447,0.30357137276480073,1.0,0.0
58,7.853428729584391e-44,7.712199567004602,0.3072543517269695,1.0,0.0
59,6.443760854014903e-43,7.826130784926916,0.3112138444644655,1.0,0.0
60,6.357862032739994e-42,7.9400394993545245,0.3157750698973626,1.0,0.0
61,4.813426535932216e-41,8.053929640483412,0.320778643984157,1.0,0.0
62,3.2227331306282758e-40,8.16781028650622,0.3259938584023352,1.0,0.0
63,1.8211522422988504e-39,8.281674457112672,0.33155718942834983,1.0,0.0
64,1.2784976222613257e-38,8.395533460946503,0.3372252795800394,1.0,0.0
65,3.7245412067217937e-38,8.509397278810829,0.3427958254563142,1.0,0.0
66,1.1378399084192341e-37,8.623273335852229,0.34811029934407184,1.0,0.0
67,2.0751220103980568e-37,8.737175832326027,0.35282424642016463,1.0,0.0
68,2.773757137299998e-37,8.85109229348636,0.35718771713813496,1.0,0.0
69,5.61350049764763e-37,8.965022681529947,0.3611710173073413,1.0,0.0
70,2.048693110258486e-36,9.078954658235148,0.36510861607380524,1.0,0.0
71,1.0450874781384071e-35,9.1928774535778,0.36930345830159783,1.0,0.0
72,4.0393649016551293e-35,9.30679924291199,0.37352553301629016,1.0,0.0
73,1.8255649248293717e-34,9.420718507382556,0.37781519296612903,1.0,0.0
74,8.231699925612936e-34,9.534634019481507,0.38220337063277043,1.0,0.0
75,4.392424829373268e-33,9.648535600743736,0.38693938013059526,1.0,0.0
76,2.9014834152712555e-32,9.762408123505864,0.3923290517151005,1.0,0.0
77,1.759819190409006e-31,9.876242791118992,0.3984665144977669,1.0,0.0
78,1.0341090354754842e-30,9.990032865010692,0.40538164889425155,1.0,0.0
79,6.605072767258783e-30,10.103749764892376,0.4134107634966876,1.0,0.0
80,2.6574531865331713e-29,10.217363174000836,0.42279123633943505,1.0,0.0
81,1.0128744653282539e-28,10.330841746303872,0.43368222472731055,1.0,0.0
82,2.0150384459402765e-28,10.444167346832488,0.44606399620106973,1.0,0.0
83,2.8434169740287195e-28,10.557362457867765,0.4595868227440484,1.0,0.0
84,3.8043704248278113e-28,10.670403336413987,0.4743435086015878,1.0,0.0
85,4.392188601154056e-28,10.78334667468275,0.4898290612461484,1.0,0.0
86,4.846198848414914e-28,10.89610621910496,0.5066006187676105,1.0,0.0
87,4.989193728773331e-28,11.008742262339547,0.5241824777266666,1.0,0.0
88,4.904388882648468e-28,11.121241938637864,0.5426167618943252,1.0,0.0
89,4.01527634813037e-28,11.233660697851766,0.561538246424,1.0,0.0
90,3.2034320348241914e-28,11.3459793693298,0.5810450667033145,1.0,0.0
91,2.5473843801886566e-28,11.458172664084344,0.6012605214872175,1.0,0.0
92,2.5418234276713675e-28,11.570177258020834,0.6224965977990513,1.0,0.0
93,1.9335383520950018e-28,11.682151505754995,0.6438921077104577,1.0,0.0
94,1.3812022833370134e-28,11.794069680130077,0.6655790218419976,1.0,0.0
95,1.1930195573616688e-28,11.90590771341543,0.6876754991826087,1.0,0.0
96,7.892379896803736e-29,12.017802589948616,0.70948230100276,1.0,0.0
97,5.288604667813759e-29,12.129760606667823,0.7309625824790739,1.0,0.0
98,4.484753777698582e-29,12.241657734141064,0.7527578311181015,1.0,0.0
99,3.1781863977670135e-29,12.35343925592552,0.7751384340490169,1.0,0.0
100,2.423403995221996e-29,12.465200965955907,0.7976177616876278,1.0,0.0
101,1.6628701735962057e-29,12.57703677240723,0.8197255068323084,1.0,0.0
102,1.3357386956194062e-29,12.688975082608952,0.8413082478348525,1.0,0.0
103,1.4376242987042682e-29,12.80113464586508,0.8617100215370224,1.0,0.0
104,1.3727931872869446e-29,12.913459139276213,0.8811832898793471,1.0,0.0
105,1.20626975648686e-29,13.025955426135058,0.8996382470175431,1.0,0.0
106,1.1349951947692829e-29,13.138593921693369,0.9172043882659864,1.0,0.0
107,1.2122695695330779e-29,13.251370910750706,0.9338582388465924,1.0,0.0
108,1.0302049170179196e-29,13.364305407604373,0.9494081398240676,1.0,0.0
109,1.0956930332582946e-29,13.477370963169802,0.9639745444827605,1.0,0.0
110,1.320907975891332e-29,13.590566633441174,0.9774926890231476,1.0,0.0
111,2.4548727962725404e-29,13.703901524268215,0.9897891324610947,1.0,0.0
112,6.100881922932395e-29,13.81730174795249,1.0014677140683035,1.0,0.0
113,1.4223340921922602e-28,13.930809651108765,1.0120486365737202,1.0,0.0
