frame_id,5's score,pos_x,pos_y,per_x,per_y
0,3.015261255568466e-14,0.6947612371941567,2.149030599201455,1.0,0.0
1,3.37215603580598e-14,0.8012455451684952,2.1897379960136587,1.0,0.0
2,5.742889486921668e-20,0.9005199628840785,2.2457789630577047,1.0,0.0
3,7.398623572456802e-20,0.9997898663795555,2.30182792611679,1.0,0.0
4,9.434819220327775e-20,1.0991978699856229,2.3576315892497433,1.0,0.0
5,1.198853382030795e-19,1.1986021845982326,2.413441823404397,1.0,0.0
6,1.5252523882067228e-19,1.2980274627618813,2.469214702674532,1.0,0.0
7,1.9315019202333528e-19,1.3974976982710046,2.5249073615063704,1.0,0.0
8,2.4496508941388933e-19,1.4970389105831206,2.580473061820811,1.0,0.0
9,3.094135023772584e-19,1.5966370877804712,2.635936591270037,1.0,0.0
10,3.90893770780899e-19,1.696280710956935,2.691318432700843,1.0,0.0
11,4.925527556468926e-19,1.7959498868435344,2.746654274413842,1.0,0.0
12,6.153688897550972e-19,1.895718459639149,2.801810705428966,1.0,0.0
13,7.792135511920045e-19,1.9955079073489208,2.856929360399663,1.0,0.0
14,9.666234694401107e-19,2.095293497680229,2.912054998375403,1.0,0.0
15,1.1893461962227676e-18,2.1950910383288713,2.967158998960502,1.0,0.0
16,1.508703722233399e-18,2.2950026906607786,3.0220558269955355,1.0,0.0
17,1.8562399541892625e-18,2.3949227319307607,3.0769373844862358,1.0,0.0
18,2.3110095041246442e-18,2.4948765355279696,3.1317574277774494,1.0,0.0
19,2.8352944143307525e-18,2.594905757906156,3.186439734517522,1.0,0.0
20,3.573021798603466e-18,2.6949764940554455,3.241046032382688,1.0,0.0
21,4.349275784645214e-18,2.7950867748194264,3.2955797988522515,1.0,0.0
22,5.3497498087838e-18,2.895216818136117,3.350077270586247,1.0,0.0
23,6.6387941669633646e-18,2.9953438459017145,3.4045802825289573,1.0,0.0
24,8.01373315574251e-18,3.095592431823159,3.4588593855129863,1.0,0.0
25,1.0039889372392427e-17,3.1958363267615573,3.5131471514237265,1.0,0.0
26,1.209639798542143e-17,3.2960810425271965,3.56743340162639,1.0,0.0
27,1.4549349849513008e-17,3.396442416906515,3.6215036756472814,1.0,0.0
28,1.8199630878077114e-17,3.496801730639278,3.675577774318353,1.0,0.0
29,2.1762608392155644e-17,3.5971828083341224,3.72961146048561,1.0,0.0
30,2.6088236207760568e-17,3.697599072784447,3.783579727400922,1.0,0.0
31,3.246319287253212e-17,3.7980514357701805,3.83748077350007,1.0,0.0
32,3.8666737793238565e-17,3.89857678894911,3.8912455702378197,1.0,0.0
33,4.619987684665565e-17,3.9991241324580358,3.9449692308846713,1.0,0.0
34,5.718750122927944e-17,4.099667748043098,3.9986998680024586,1.0,0.0
35,6.78481999081393e-17,4.200325297935902,4.052216759257255,1.0,0.0
36,8.040822698893613e-17,4.300981003302724,4.1057371196550285,1.0,0.0
37,9.948697326395025e-17,4.401629503724303,4.159271028188661,1.0,0.0
38,1.1757859859463874e-16,4.502292533278203,4.212777611718453,1.0,0.0
39,1.3878723947384056e-16,4.60305289677497,4.266100675658922,1.0,0.0
40,1.7071282306313543e-16,4.703822436517077,4.31940639636659,1.0,0.0
41,2.0123540527388603e-16,4.804619969259108,4.3726591652440785,1.0,0.0
42,2.3661336213907055e-16,4.905468198602421,4.425815864147591,1.0,0.0
43,2.791796026580541e-16,5.006369479043059,4.478871793179507,1.0,0.0
