frame_id,2's score,pos_x,pos_y,per_x,per_y
0,1.2730274657714782e-18,0.9665138883783362,1.6704154280656534,0.7218600608117315,0.6920390542483011
1,7.061598586498903e-16,1.0490327686952112,1.749070589315563,0.7236112929072321,0.690207720021389
2,2.9863036269265617e-16,1.1118933608614552,1.8441734071103535,0.7015722265208273,0.7125983517905504
3,4.881061915441002e-16,1.1748649179653468,1.9392027867563941,0.6814892689135517,0.7318281057431948
4,7.909613037892788e-16,1.2379588469705423,2.0341509627403873,0.663380884646519,0.7482819000120222
5,1.2877319129977195e-15,1.3011715460205227,2.12902010777088,0.6472150767768201,0.7623074474205109
6,2.1060515602043786e-15,1.3644969790510757,2.2238140397048016,0.6329155926583704,0.7742208034985263
7,3.3729044743090557e-15,1.4279487256181875,2.318523468261746,0.6204030318991423,0.7842831618811867
8,5.439413596714561e-15,1.4915106013604875,2.413159021581418,0.6095580554793563,0.7927414313634844
9,8.686604078241313e-15,1.5551750209636857,2.5077256207408882,0.6002367963578968,0.7998223479611011
10,1.3990433302717949e-14,1.6189613535917264,2.6022100309357183,0.5923022743192288,0.8057158406263767
11,2.21563597860202e-14,1.682851006078203,2.6966246076977693,0.5856111396783933,0.8105921249830726
12,3.547065470616988e-14,1.7468631460263273,2.790956182153313,0.5800293998671378,0.8145955409218539
13,5.632654302101411e-14,1.8109802002800486,2.885216477897732,0.5754221144818908,0.8178565828830807
14,8.844971519149481e-14,1.8751884324076638,2.979414688746167,0.5716786715120183,0.8204776027036045
15,1.408104410042661e-13,1.9395135047083651,3.0735331517250613,0.5686715059482528,0.8225647198382304
16,2.2047548206145825e-13,2.00395703751049,3.167570543649665,0.5663050343271278,0.8241957340921818
17,3.444723033323057e-13,2.0684999626511,3.261539745063179,0.5644937112827371,0.8254373688671006
18,5.430167137869958e-13,2.1331565609984984,3.3554307685432923,0.5631384271777262,0.8263625789178721
19,8.396055870152571e-13,2.197903184777199,3.449259733736666,0.5621985064458282,0.8270023212483022
20,1.308978977502773e-12,2.262768303191054,3.54300682122826,0.5615762498455505,0.8274249909263122
21,2.032886071149926e-12,2.3277287663174597,3.6366878664316675,0.5612273615695168,0.8276616752186359
22,3.100150234471596e-12,2.392779095825289,3.730306532470673,0.5610924099116743,0.8277531682449242
23,4.8343935102555645e-12,2.457944624369374,3.8238450480114388,0.5611623286648137,0.8277057695144353
24,7.423027388922706e-12,2.5232047297788758,3.9173176035662145,0.561390571766556,0.8275509808656016
25,1.1146380967987036e-11,2.58857286173072,4.010714644874418,0.5617258136758337,0.8273234616824441
